id,language,value,description,year,latitude,longitude,genus,family,source,id_url,language_url,source_url
mlt,Maltese,2,Words derived from Min Nan Chinese te,1188,35.9166666667,14.4166666667,Semitic,Afro-Asiatic,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-mlt,http://wals.info/languoid/lect/wals_code_mlt,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1188]
mme,Mari (Meadow),1,Words derived from Sinitic cha,349,57,48,Mari,Uralic,Moisio 1992,http://wals.info/valuesets/138A-mme,http://wals.info/languoid/lect/wals_code_mme,http://wals.info/refdb/record/Moisio-1992[349]
mnd,Mandarin,1,Words derived from Sinitic cha,732,34,110,Chinese,Sino-Tibetan,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-mnd,http://wals.info/languoid/lect/wals_code_mnd,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[732]
mnt,Mentawai,2,Words derived from Min Nan Chinese te,78,-1.5,99,Northwest Sumatra-Barrier Islands,Austronesian,Syamsir et al 1985,http://wals.info/valuesets/138A-mnt,http://wals.info/languoid/lect/wals_code_mnt,http://wals.info/refdb/record/Syamsir-et-al-1985[78]
moe,Mordvin (Erzya),1,Words derived from Sinitic cha,NA,53,45.5,Mordvin,Uralic,Paasonen 1909,http://wals.info/valuesets/138A-moe,http://wals.info/languoid/lect/wals_code_moe,http://wals.info/refdb/record/Paasonen-1909
mol,Moldavian,1,Words derived from Sinitic cha,NA,47,29,Romance,Indo-European,Gajdarzi and Baskakov 1973,http://wals.info/valuesets/138A-mol,http://wals.info/languoid/lect/wals_code_mol,http://wals.info/refdb/record/Gajdarzi-and-Baskakov-1973
msh,Marshallese,2,Words derived from Min Nan Chinese te,NA,7.11666666667,171.05,Oceanic,Austronesian,Abo et al. 1976,http://wals.info/valuesets/138A-msh,http://wals.info/languoid/lect/wals_code_msh,http://wals.info/refdb/record/Abo-et-al-1976
mss,Miwok (Southern Sierra),2,Words derived from Min Nan Chinese te,NA,37.5,-120,Miwok,Penutian,Broadbent 1964,http://wals.info/valuesets/138A-mss,http://wals.info/languoid/lect/wals_code_mss,http://wals.info/refdb/record/Broadbent-1964
mym,Malayalam,1,Words derived from Sinitic cha,1173,10,76.5,Southern Dravidian,Dravidian,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-mym,http://wals.info/languoid/lect/wals_code_mym,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1173]
nai,Nanai,1,Words derived from Sinitic cha,NA,49.5,137,Tungusic,Altaic,Petrova 1960,http://wals.info/valuesets/138A-nai,http://wals.info/languoid/lect/wals_code_nai,http://wals.info/refdb/record/Petrova-1960
nbd,Nubian (Dongolese),1,Words derived from Sinitic cha,NA,18.25,30.75,Nubian,Eastern Sudanic,Armbruster 1965,http://wals.info/valuesets/138A-nbd,http://wals.info/languoid/lect/wals_code_nbd,http://wals.info/refdb/record/Armbruster-1965
nep,Nepali,1,Words derived from Sinitic cha,1251,28,85,Indic,Indo-European,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-nep,http://wals.info/languoid/lect/wals_code_nep,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1251]
new,Newari (Kathmandu),1,Words derived from Sinitic cha,1259,27.6666666667,85.5,Mahakiranti,Sino-Tibetan,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-new,http://wals.info/languoid/lect/wals_code_new,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1259]
